HDI Rank (2021),Countries,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank (2020),HDI Category,Education Index,alpha-3,region,sub-region,Lat,Lon
72,Seychelles,0.785,71.2945,13.94161034,10.28312,25830.61775,-17,69,2,0.7300376205555555,SYC,Africa,Sub-Saharan Africa,-4.5833,55.6667
73,Sri Lanka,0.782,76.3991,14.13990486,10.82730007,12578.22055,21,75,2,0.7536851373333333,LKA,Asia,Southern Asia,7,81
74,Bosnia and Herzegovina,0.78,75.3003,13.8,10.53631973,15241.91465,4,73,2,0.734543991,BIH,Europe,Southern Europe,44,18
75,Saint Kitts and Nevis,0.777,71.6822,15.42769157,8.662745,23358.33212,-16,76,2,0.7173051547222222,KNA,Americas,Latin America and the Caribbean,17.3333,-62.75
76,Iran (Islamic Republic of),0.774,73.8749,14.61524963,10.63645314,13000.7117,15,77,2,0.760527594388889,IRN,Asia,Southern Asia,32,53
77,Ukraine,0.773,71.624,14.95656854,11.13142043,13255.50977,11,78,2,0.7865075848888889,UKR,Europe,Eastern Europe,49,32
78,North Macedonia,0.77,73.8415,13.62443234,10.22815037,15917.75283,-3,79,2,0.7193947995555555,MKD,Europe,Southern Europe,41.8333,22
79,China,0.768,78.2107,14.2361149,7.600118446,17504.39969,-8,82,2,0.6487849176444445,CHN,Asia,Eastern Asia,35,105
80,Dominican Republic,0.767,72.6146,14.46655802,9.306864107,17989.60037,-11,82,2,0.7120776374555556,DOM,Americas,Latin America and the Caribbean,19,-70.6667
80,Palau,0.767,66.0204,15.78432,12.49143,13818.67869,5,80,2,0.8548343333333333,PLW,Oceania,Micronesia,7.5,134.5
83,Cuba,0.764,73.6829,14.44305992,12.49773438,7878.847482,37,73,2,0.8177872548888889,CUB,Americas,Latin America and the Caribbean,21.5,-80
84,Peru,0.762,72.3769,15.38773354,9.885518863,12245.89366,13,85,2,0.756954338211111,PER,Americas,Latin America and the Caribbean,-10,-76
85,Armenia,0.759,72.0431,13.11676025,11.33030033,13157.9939,4,87,2,0.7420311290555556,ARM,Asia,Western Asia,40,45
86,Mexico,0.758,70.2127,14.86443996,9.221050262,17896.29498,-16,88,2,0.7202694520666667,MEX,Americas,Latin America and the Caribbean,23,-102
